Legend,Temperature (°C),ρ (Ω·cm)
Heating,15.555555555555557,2504.7736625514403
Heating,16.666666666666668,2525.22633744856
Heating,17.77777777777778,2525.22633744856
Heating,18.88888888888889,2525.22633744856
Heating,20.0,2525.22633744856
Heating,21.11111111111111,2515.0
Heating,22.22222222222222,2443.4156378600824
Heating,23.333333333333336,408.3744855967078
Heating,24.444444444444446,398.14814814814815
Heating,25.555555555555557,2433.1893004115227
Heating,27.77777777777778,520.8641975308642
Heating,28.88888888888889,531.0905349794239
Heating,30.0,520.8641975308642
Heating,31.111111111111114,2515.0
Heating,32.22222222222222,582.2222222222222
Heating,33.333333333333336,623.1275720164609
Heating,34.44444444444444,643.5802469135803
Heating,35.55555555555556,633.3539094650206
Heating,36.66666666666667,2448.528806584362
Heating,38.88888888888889,684.485596707819
Heating,40.0,2545.679012345679
Heating,41.111111111111114,725.3909465020577
Heating,42.22222222222222,3466.049382716049
Heating,43.333333333333336,776.522633744856
Heating,44.44444444444444,766.2962962962963
Heating,45.55555555555556,796.9753086419753
Heating,46.66666666666667,4025.941358024691
Heating,47.77777777777778,3251.296296296296
Heating,48.88888888888889,878.7860082304527
Heating,50.0,868.559670781893
Heating,51.111111111111114,2663.2818930041153
Heating,52.22222222222222,2668.3950617283954
Heating,53.333333333333336,960.5967078189301
Heating,54.44444444444445,1032.1810699588477
Heating,55.55555555555556,1001.5020576131687
Heating,56.66666666666667,2415.293209876543
Heating,57.77777777777778,2420.406378600823
Heating,58.88888888888889,1062.8600823045267
Heating,60.0,1113.9917695473252
Heating,61.111111111111114,1103.7654320987654
Heating,62.22222222222223,1113.9917695473252
Heating,63.333333333333336,1134.4444444444443
Heating,64.44444444444444,1175.3497942386832
Heating,65.55555555555556,1175.3497942386832
Heating,66.66666666666667,1226.4814814814815
Heating,67.77777777777779,1287.8395061728395
Heating,68.88888888888889,1338.971193415638
Heating,70.0,1410.5555555555557
Heating,71.11111111111111,1492.366255144033
Heating,72.22222222222223,1891.1934156378602
Heating,73.33333333333334,2208.2098765432097
Heating,74.44444444444444,2555.9053497942386
Heating,75.55555555555556,2913.8271604938273
Heating,76.66666666666667,3077.448559670782
Heating,77.77777777777779,3363.786008230453
Heating,78.88888888888889,3588.7654320987654
Heating,80.0,3875.1028806584363
Heating,81.11111111111111,4023.384773662551
Heating,82.22222222222223,4059.1769547325102
Heating,83.33333333333334,4181.893004115226
Heating,84.44444444444444,1620.1954732510287
Heating,85.55555555555556,1635.5349794238682
Heating,86.66666666666667,4365.967078189301
Heating,87.77777777777779,4422.211934156378
Heating,88.88888888888889,4468.230452674898
Heating,90.0,4498.909465020576
Heating,91.11111111111111,4550.041152263374
Heating,92.22222222222223,4560.267489711934
Heating,93.33333333333334,1612.525720164609
Heating,94.44444444444444,4601.172839506173
Heating,95.55555555555556,4621.625514403292
Heating,96.66666666666667,4621.625514403292
Heating,97.77777777777779,4616.5123456790125
Heating,98.8888888888889,4652.3045267489715
Heating,100.0,1609.9691358024693
Heating,101.11111111111111,4682.98353909465
Heating,102.22222222222223,4672.75720164609
Heating,103.33333333333334,1507.7057613168724
Heating,104.44444444444444,1277.61316872428
Heating,105.55555555555556,1558.8374485596707
Heating,106.66666666666667,1543.4979423868313
Heating,107.77777777777779,1584.4032921810701
Heating,108.8888888888889,1571.6203703703704
Heating,110.0,1704.562757201646
