Legend,Temperature (°C),ρ (Ω.cm)
Cooling,-19.141414141414142,7.152850000000001
Cooling,-17.676767676767675,7.11289
Cooling,-16.21212121212121,7.1029
Cooling,-14.747474747474747,7.12288
Cooling,-13.282828282828282,6.94306
Cooling,-11.818181818181817,6.88312
Cooling,-8.88888888888889,6.86314
Cooling,-5.9595959595959584,6.52348
Cooling,-1.565656565656564,6.313689999999999
Cooling,1.3636363636363669,6.328675
Cooling,5.757575757575761,6.13387
Cooling,7.222222222222221,6.083919999999999
Cooling,8.686868686868692,5.91409
Cooling,13.080808080808083,5.92408
Cooling,16.01010101010101,5.8042
Cooling,18.939393939393945,5.6243799999999995
Cooling,20.40404040404041,5.56444
Cooling,21.868686868686872,5.54446
Cooling,23.333333333333336,5.4645399999999995
Cooling,24.7979797979798,5.32468
Cooling,26.262626262626263,5.3047
Cooling,27.727272727272734,5.16484
Cooling,29.191919191919197,5.005
Cooling,30.65656565656566,4.9250799999999995
Cooling,32.121212121212125,4.705299999999999
Cooling,33.58585858585859,4.365640000000001
Cooling,35.05050505050505,3.98602
Cooling,36.51515151515152,3.88612
Cooling,37.979797979797986,3.3966099999999995
Cooling,39.44444444444444,2.96704
Cooling,40.90909090909092,2.76724
Cooling,42.373737373737384,2.6123950000000002
Cooling,43.83838383838385,2.3676399999999997
Cooling,45.30303030303031,2.1278799999999993
Cooling,46.767676767676775,2.1079
Cooling,48.23232323232324,1.94806
Cooling,49.6969696969697,1.798210000000001
Cooling,51.161616161616166,1.7682400000000005
Cooling,52.62626262626263,1.7082999999999995
Cooling,54.09090909090909,1.62838
Cooling,55.55555555555556,1.5484600000000004
Cooling,57.02020202020202,1.5684400000000007
Cooling,58.484848484848484,1.4985099999999996
Cooling,59.94949494949496,1.4485600000000005
Cooling,61.414141414141426,1.4685400000000008
Cooling,62.87878787878789,1.4785300000000001
Cooling,64.34343434343435,1.3786299999999994
Cooling,65.80808080808082,1.3486600000000006
Cooling,67.27272727272728,1.3486600000000006
Cooling,68.73737373737374,1.3186900000000001
Cooling,70.20202020202021,1.2887199999999996
Cooling,71.66666666666667,1.2687399999999993
Cooling,73.13131313131314,1.2387700000000006
Cooling,74.5959595959596,9.16084
Cooling,76.06060606060606,8.86114
Cooling,77.52525252525253,8.82118
Cooling,78.989898989899,8.54146
Cooling,80.45454545454547,8.52148
Cooling,81.91919191919193,7.24276
Cooling,83.3838383838384,7.23277
Cooling,84.84848484848486,5.88412
Cooling,86.31313131313132,5.904100000000001
Cooling,87.77777777777779,6.48352
Cooling,89.24242424242425,8.001999999999999
Cooling,90.70707070707071,1.0889199999999999
Cooling,92.17171717171718,8.82118
Cooling,93.63636363636364,8.82118
Cooling,95.1010101010101,9.2008
Cooling,98.03030303030305,9.48052
Cooling,100.95959595959597,9.54046
Cooling,102.42424242424244,9.6004
Cooling,103.88888888888889,9.56044
Cooling,105.35353535353536,9.6004
Cooling,106.81818181818184,9.66034
Cooling,108.28282828282829,9.68032
Cooling,109.74747474747477,9.72028
Cooling,111.21212121212122,9.7003
Cooling,112.6767676767677,9.56044
Cooling,114.14141414141415,9.58042
Cooling,117.07070707070707,9.58042
Cooling,118.53535353535355,9.56044
